fecha_inicio,fecha_fin,codigo,descripcion,categoria,descuento,precio_normal,precio_oferta,imagen
2025-11-12,2025-12-03,7702010382000,Axion Lavavajilla Aloe 850 g,Limpieza,23,2.98,2.29,https://storage.googleapis.com/xiyimgengine/aki/2024/akipreciazo/7702010382000.png
2025-11-14,2025-12-03,7861175503580,Elite Papel Higiénico Manzanilla XG Doble Hoja 12 X 32 m,Limpieza,24,6.57,4.99,https://storage.googleapis.com/xiyimgengine/aki/2024/akipreciazo/7861175503580.png
2025-11-12,2025-11-26,7702026155056,Pequeñín Paños Húmedos Almendra 100 u,Limpieza,25,4.34,3.26,https://storage.googleapis.com/xiyimgengine/aki/2024/akipreciazo/7702026155056.png
2025-11-13,2025-12-03,7861038005381,Tips Lavanda 1.000 ml,Limpieza,25,2.21,1.66,https://storage.googleapis.com/xiyimgengine/aki/2024/akipreciazo/7861038005381.png
2025-11-12,2025-12-03,7702425804760,Huggies Toallas Húmedas Active Fresh 96 u,Limpieza,25,4.55,3.39,https://storage.googleapis.com/xiyimgengine/aki/2024/akipreciazo/7702425804760.png
2025-11-27,2025-12-03,7861001300970,Aromatel Suavizante Floral Doypack 1.900 ml,Limpieza,50,5.23,2.59,https://storage.googleapis.com/xiyimgengine/aki/2024/akipreciazo/7861001300970.png
2025-11-27,2025-12-03,7861048614467,Ciclón Detergente Líquido Quitamancha 1.80 l,Limpieza,50,6.44,3.19,https://storage.googleapis.com/xiyimgengine/aki/2024/akipreciazo/7861048614467.png
2025-11-12,2025-11-26,7702425993730,Scott Toalla de Cocina Reusable Duramax 52 u,Limpieza,26,3.90,2.89,https://storage.googleapis.com/xiyimgengine/aki/2024/akipreciazo/7702425993730.png
2025-11-27,2025-12-03,7702425320178,Scott Duramax Toalla de Cocina Reusable 30 u,Limpieza,53,1.88,0.89,https://storage.googleapis.com/xiyimgengine/aki/2024/akipreciazo/7702425320178.png
2025-11-27,2025-12-03,7702191000076,Deja Doypack Líquido Floral 1.800 ml,Limpieza,50,6.44,3.19,https://storage.googleapis.com/xiyimgengine/aki/2024/akipreciazo/7702191000076.png
2025-11-12,2025-12-03,7862122922300,Krash Granola Crocante Fit 340 g,Alimentos,10,1.53,1.38,https://storage.googleapis.com/xiyimgengine/aki/2024/akipreciazo/7862122922300.png
2025-11-12,2025-12-03,7862122922317,Krash Galletas Brownie/Avellanas 126 g,Alimentos,10,1.68,1.51,https://storage.googleapis.com/xiyimgengine/aki/2024/akipreciazo/7862122922317.png
2025-11-12,2025-12-03,7861042588412,Krash Maní Dulce 90 g,Alimentos,10,0.99,0.89,https://storage.googleapis.com/xiyimgengine/aki/2024/akipreciazo/7861042588412.png
2025-11-12,2025-12-03,7861042568858,Akí Duraznos en Mitades 420 g,Alimentos,12,1.81,1.59,https://storage.googleapis.com/xiyimgengine/aki/2024/akipreciazo/7861042568858.png
2025-11-12,2025-12-03,7861042577355,Akí Lasaña Precocida 400 g,Alimentos,15,4.19,3.56,https://storage.googleapis.com/xiyimgengine/aki/2024/akipreciazo/7861042577355.png
