fecha_inicio,fecha_fin,codigo,descripcion,categoria,descuento,precio_normal,precio_oferta,imagen
2025-10-27,2025-12-03,7702277658115,Jabón Íntimo Intibon Avena y Caléndula 210 g,Higiene,50,5.49,2.75,https://storage.googleapis.com/xiyimgengine/productos_cf/7702277658115.png
2025-10-27,2025-12-03,7702277846680,Jabón Íntimo Intibon Caléndula Niña 210 g,Higiene,50,5.49,2.75,https://storage.googleapis.com/xiyimgengine/productos_cf/7702277846680.png
2025-10-26,2025-12-03,7861048690188,La Favorita Aceite 1.000 ml,Alimentos,30,2.79,1.95,https://storage.googleapis.com/xiyimgengine/productos_cf/7861048690188.png
2025-10-27,2025-12-03,7861153900981,La Italiana Jamón Sánduche 200g,Alimentos,40,1.92,1.15,https://storage.googleapis.com/xiyimgengine/productos_cf/7861153900981.png
2025-10-27,2025-12-03,7861153903036,La Italiana Salchicha Frankfurt 250 g,Alimentos,40,2.12,1.27,https://storage.googleapis.com/xiyimgengine/productos_cf/7861153903036.png
2025-10-27,2025-12-03,7861153903036,La Italiana Salchicha Frankfurt 250 g,Alimentos,40,2.12,1.27,https://storage.googleapis.com/xiyimgengine/productos_cf/7861153903036.png
2025-10-27,2025-12-03,7861153900981,La Italiana Jamón Sánduche 200g,Alimentos,40,1.92,1.15,https://storage.googleapis.com/xiyimgengine/productos_cf/7861153900981.png
2025-10-27,2025-12-03,8445291182745,La Lechera Leche Condensada 393 g,Alimentos,35,2.27,1.48,https://storage.googleapis.com/xiyimgengine/productos_cf/8445291182745.png
2025-10-27,2025-12-03,7702035432339,Listerine Cool Mint 500 ml,Higiene,50,7.41,3.71,https://storage.googleapis.com/xiyimgengine/productos_cf/7702035432339.png
2025-10-27,2025-12-03,7702031244523,Lubriderm Humectación Diaria 946 ml,Higiene,40,17.14,10.28,https://storage.googleapis.com/xiyimgengine/productos_cf/7702031244523.png
2025-10-27,2025-12-03,8413481040021,May Gold Sparkling Uva Roja 750 ml,Alimentos,40,4.09,2.45,https://storage.googleapis.com/xiyimgengine/productos_cf/8413481040021.png
2025-10-27,2025-12-03,8413481040014,May Gold Sparkling Uva Blanca 750 ml,Alimentos,40,4.09,2.45,https://storage.googleapis.com/xiyimgengine/productos_cf/8413481040014.png
2025-10-27,2025-12-03,8413481012097,Mayador Sidra Rosada 750 ml,Alimentos,40,5.12,3.07,https://storage.googleapis.com/xiyimgengine/productos_cf/8413481012097.png
2025-10-27,2025-12-03,8413481012004,Mayador Sidra Asturiana 750 ml,Alimentos,40,5.12,3.07,https://storage.googleapis.com/xiyimgengine/productos_cf/8413481012004.png
2025-10-27,2025-12-03,7861018591910,Natuchips Plátano Frito Picante 135 g,Alimentos,50,1.50,0.75,https://storage.googleapis.com/xiyimgengine/productos_cf/7861018591910.png
2025-10-27,2025-12-03,7702277770428,Shampoo Nutrit Reparamax 600 ml,Higiene,50,5.49,2.75,https://storage.googleapis.com/xiyimgengine/productos_cf/7702277770428.png
2025-10-27,2025-12-03,7702277866770,Shampoo Nutrit Restauramax 600 ml,Higiene,50,5.49,2.75,https://storage.googleapis.com/xiyimgengine/productos_cf/7702277866770.png
2025-10-27,2025-12-03,7702277155188,Acondicionador Nutrit Kerat 550 ml,Higiene,50,5.49,2.75,https://storage.googleapis.com/xiyimgengine/productos_cf/7702277155188.png
2025-10-27,2025-12-03,7702277155201,Acondicionador Nutrit Repara 550 ml,Higiene,50,5.49,2.75,https://storage.googleapis.com/xiyimgengine/productos_cf/7702277155201.png
2025-10-27,2025-12-03,7702277575764,Shampoo Nutrit Keratinmax 600 ml,Higiene,50,5.49,2.75,https://storage.googleapis.com/xiyimgengine/productos_cf/7702277575764.png
2025-10-27,2025-12-03,7702277495222,Acondicionador Nutrit Anticaspa 550 ml,Higiene,50,5.99,3.00,https://storage.googleapis.com/xiyimgengine/productos_cf/7702277495222.png
2025-10-27,2025-12-03,7702277931720,Shampoo Nutrit Anticaspa 600 ml,Higiene,50,5.99,3.00,https://storage.googleapis.com/xiyimgengine/productos_cf/7702277931720.png
2025-10-27,2025-12-03,705424000352,Olé Jalapeños Rojos/Verdes 370 g,Alimentos,35,4.39,2.85,https://storage.googleapis.com/xiyimgengine/productos_cf/705424000352.png
2025-10-27,2025-12-03,7501086453955,Oral-b Cepillo Pro Salud Indicator Plus Pack 2 u,Higiene,40,3.28,1.97,https://storage.googleapis.com/xiyimgengine/productos_cf/7501086453955.png
2025-10-27,2025-12-03,7509546698977,Palmolive Mandarina & Romero 6 x 110 g,Higiene,50,5.31,2.66,https://storage.googleapis.com/xiyimgengine/productos_cf/7509546698977.png
2025-10-26,2025-12-03,7702084127330,Pan Harina De Maíz Blanco 500 g,Alimentos,50,1.07,0.54,https://storage.googleapis.com/xiyimgengine/productos_cf/7702084127330.png
2025-10-27,2025-12-03,7702026155056,Pequeñín Paños Húmedos Almendra 100 u,Higiene,50,4.34,2.17,https://storage.googleapis.com/xiyimgengine/productos_cf/7702026155056.png
2025-10-27,2025-12-03,7861048631853,Perla Suavizante Serenidad Doypack 1.300 ml,Limpieza,50,4.15,2.08,https://storage.googleapis.com/xiyimgengine/productos_cf/7861048631853.png
2025-10-27,2025-12-03,8423453908754,Prima Lite Cerveza 330 ml,Bebidas,50,0.98,0.49,https://storage.googleapis.com/xiyimgengine/productos_cf/8423453908754.png
2025-10-27,2025-12-03,8423453908730,Prima Cerveza 330 ml,Bebidas,50,0.98,0.49,https://storage.googleapis.com/xiyimgengine/productos_cf/8423453908730.png
2025-10-27,2025-12-03,8423453911716,Prima Sangría Frizante 1.500 ml,Bebidas,50,4.57,2.29,https://storage.googleapis.com/xiyimgengine/productos_cf/8423453911716.png
2025-10-27,2025-12-03,8423453908747,6 Pack Prima Cerveza 6 x 330 ml,Bebidas,50,5.50,2.75,https://storage.googleapis.com/xiyimgengine/productos_cf/8423453908747.png
